# BOBA Playbook pHash index — generated by scripts/build_phash_index.py
# Cards: 8221 · Format: bobaId|<16-hex-char> (LSB-first 64-bit pHash)
# Browser-side hash MUST stay in sync with computeFramePhash in js/app.js.
19-McArmyKnife-Base Set-First Edition-FIRE|da29e8b4669e8b23
19-Taze'em-Base Set-First Edition-FIRE|3464debe28c4d599
190-Dart-Board-Base Set-First Edition-BRAWL|988c36b3ce26e783
191-Dumper-Base Set-First Edition-BRAWL|596786993726ce19
192-Switchblade-Base Set-First Edition-BRAWL|1ee40a3d6793c635
193-Cupid-Base Set-2026 Edition-BRAWL|9acd2c0d66b2c72d
194-Air Ace-Base Set-First Edition-BRAWL|1a25369d66b26937
195-Maxed Out-Base Set-First Edition-BRAWL|9807b4954fb4e48f
196-King Tuck-Base Set-First Edition-BRAWL|126d989dcd34c697
197-Macho-Base Set-First Edition-BRAWL|f3931ae566340b99
198-Gladiator-Base Set-First Edition-BRAWL|1ac51635ce96e333
199-BrockNess-Base Set-First Edition-BRAWL|1ad3a6a72632c99d
2-Gaveler-Base Set-2026 Edition-FIRE|9bdcb0786497c683
2-Merlomes-Base Set-First Edition-FIRE|926b6c94abb68e89
2-Showtime-Base Set-First Edition-ICE|329d999c4f9cc989
20-Fungi-Base Set-2026 Edition-FIRE|a396b38d7cb1c229
20-Taze'em-Base Set-First Edition-ICE|34ed1ebeca944589
20-Tigre-Base Set-First Edition-FIRE|66c61c2dcb9e31b1
200-Fungi-Base Set-2026 Edition-BRAWL|30b7988d66b9c935
201-Wattage-Base Set-First Edition-BRAWL|98a77615cc9c66b1
202-Gunner-Base Set-First Edition-BRAWL|36c9348dcfb62631
203-Marksman-Base Set-First Edition-BRAWL|76673099c694cb99
204-D-Harp-Base Set-First Edition-BRAWL|b3d15ea9c4166b19
205-Jeanetic-Base Set-First Edition-BRAWL|1be44e99c3a4ec33
206-Doublecheck-Base Set-2026 Edition-BRAWL|98c9268dccb4e733
207-Caliber-Base Set-2026 Edition-BRAWL|1b6ca6b14db48e99
